ID,Text,Cit_ID,Regulation,Regulator
0,"Inconsistent state laws. Except as otherwise provided in this section, this part alters, affects, or preempts only those state laws that are inconsistent with the Act and this part and then only to the extent of the inconsistency. A state law is not inconsistent if it is more protective of an applicant.",CFR:12:1002:1002.11:a,Reg B,CFPB
1,Preempted provisions of state law. A state law is deemed to be inconsistent with the requirements of the Act and this part and less protective of an applicant within the meaning of section 705(f) of the Act to the extent that the law: Requires or permits a practice or act prohibited by the Act or this part;,CFR:12:1002:1002.11:b:1:i,Reg B,CFPB
2,Preempted provisions of state law. A state law is deemed to be inconsistent with the requirements of the Act and this part and less protective of an applicant within the meaning of section 705(f) of the Act to the extent that the law: Prohibits the individual extension of consumer credit to both parties to a marriage if each spouse individually and voluntarily applies for such credit;,CFR:12:1002:1002.11:b:1:ii,Reg B,CFPB
3,Preempted provisions of state law. A state law is deemed to be inconsistent with the requirements of the Act and this part and less protective of an applicant within the meaning of section 705(f) of the Act to the extent that the law: Prohibits inquiries or collection of data required to comply with the Act or this part;,CFR:12:1002:1002.11:b:1:iii,Reg B,CFPB
4,"Preempted provisions of state law. A state law is deemed to be inconsistent with the requirements of the Act and this part and less protective of an applicant within the meaning of section 705(f) of the Act to the extent that the law: Prohibits asking about or considering age in an empirically derived, demonstrably and statistically sound, credit scoring system to determine a pertinent element of creditworthiness, or to favor an elderly applicant; or",CFR:12:1002:1002.11:b:1:iv,Reg B,CFPB
5,Preempted provisions of state law. A state law is deemed to be inconsistent with the requirements of the Act and this part and less protective of an applicant within the meaning of section 705(f) of the Act to the extent that the law: Prohibits inquiries necessary to establish or administer a special purpose credit program as defined by § 1002.8.,CFR:12:1002:1002.11:b:1:v,Reg B,CFPB
6,"Preempted provisions of state law. A creditor, state, or other interested party may request that the Bureau determine whether a state law is inconsistent with the requirements of the Act and this part.",CFR:12:1002:1002.11:b:2,Reg B,CFPB
7,"Laws on finance charges, loan ceilings. If married applicants voluntarily apply for and obtain individual accounts with the same creditor, the accounts shall not be aggregated or otherwise combined for purposes of determining permissible finance charges or loan ceilings under any Federal or state law. Permissible loan ceiling laws shall be construed to permit each spouse to become individually liable up to the amount of the loan ceilings, less the amount for which the applicant is jointly liable.",CFR:12:1002:1002.11:c,Reg B,CFPB
8,"State and Federal laws not affected. This section does not alter or annul any provision of state property laws, laws relating to the disposition of decedents' estates, or Federal or state banking regulations directed only toward insuring the solvency of financial institutions.",CFR:12:1002:1002.11:d,Reg B,CFPB
9,Exemption for state-regulated transactions Applications. A state may apply to the Bureau for an exemption from the requirements of the Act and this part for any class of credit transactions within the state. The Bureau will grant such an exemption if the Bureau determines that: The class of credit transactions is subject to state law requirements substantially similar to those of the Act and this part or that applicants are afforded greater protection under state law; and,CFR:12:1002:1002.11:e:1:i,Reg B,CFPB
10,Exemption for state-regulated transactions Applications. A state may apply to the Bureau for an exemption from the requirements of the Act and this part for any class of credit transactions within the state. The Bureau will grant such an exemption if the Bureau determines that: There is adequate provision for state enforcement.,CFR:12:1002:1002.11:e:1:ii,Reg B,CFPB
11,Exemption for state-regulated transactions Liability and enforcement. No exemption will extend to the civil liability provisions of section 706 of the Act or the administrative enforcement provisions of section 704 of the Act.,CFR:12:1002:1002.11:e:2:i,Reg B,CFPB
12,"Exemption for state-regulated transactions Liability and enforcement. After an exemption has been granted, the requirements of the applicable state law (except for additional requirements not imposed by Federal law) will constitute the requirements of the Act and this part.",CFR:12:1002:1002.11:e:2:ii,Reg B,CFPB
